STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-06,,,,,0.0,"T,,N",0.0,"T,,N",76.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-07,,,,,0.5,",,N",13.0,",,N",89.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-08,,,,,0.0,",,N",0.0,",,N",76.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-09,,,,,1.0,",,N",25.0,",,N",102.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-10,,,,,0.0,",,N",0.0,",,N",102.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-11,,,,,0.0,",,N",0.0,",,N",102.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-12,,,,,0.0,"T,,N",0.0,"T,,N",89.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-13,,,,,2.5,",,N",102.0,",,N",178.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-14,,,,,6.6,",,N",127.0,",,N",254.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-15,,,,,0.0,",,N",0.0,",,N",229.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-16,,,,,15.5,",,N",178.0,",,N",330.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-17,,,,,0.0,"T,,N",5.0,",,N",305.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-18,,,,,0.0,",,N",0.0,",,N",279.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-19,,,,,3.6,",,N",64.0,",,N",330.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-20,,,,,0.0,"T,,N",3.0,",,N",330.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-21,,,,,0.0,",,N",0.0,",,N",305.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-22,,,,,5.1,",,N",51.0,",,N",343.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-23,,,,,1.5,",,N",8.0,",,N",279.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-24,,,,,0.0,"T,,N",0.0,"T,,N",254.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-25,,,,,0.0,",,N",0.0,",,N",152.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-26,,,,,0.0,",,N",0.0,",,N",152.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-27,,,,,6.4,",,N",0.0,",,N",102.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-02-28,,,,,0.0,",,N",0.0,",,N",76.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-01,,,,,0.5,",,N",0.0,",,N",51.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-02,,,,,0.0,"T,,N",0.0,"T,,N",51.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-03,,,,,0.0,",,N",0.0,",,N",51.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-04,,,,,0.0,"T,,N",0.0,"T,,N",51.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-05,,,,,0.0,",,N",0.0,",,N",51.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-06,,,,,0.0,"T,,N",0.0,"T,,N",25.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-07,,,,,0.0,",,N",0.0,",,N",25.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-08,,,,,0.0,"T,,N",0.0,"T,,N",13.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-09,,,,,0.0,"T,,N",0.0,"T,,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-10,,,,,0.0,",,N",0.0,",,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-11,,,,,0.0,",,N",0.0,",,N",0.0,"T,,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-12,,,,,4.6,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-13,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-14,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-15,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-16,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-17,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-18,,,,,0.0,"T,,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-19,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-20,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-21,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-22,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
