STATION,NAME,DATE,TAVG,TMAX,TMIN,WDFG,WSFG
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-01,,35,17,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-02,,18,10,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-03,,20,10,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-04,,22,15,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-05,,26,16,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-06,,28,21,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-07,,30,21,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-09,,22,10,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-10,,26,9,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-11,,26,22,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-12,,26,20,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-13,,32,23,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-14,,42,26,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-15,,39,35,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-16,,35,31,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-17,,37,33,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-18,,35,29,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-19,,35,29,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-20,,31,23,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-21,,35,22,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-22,,36,32,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-23,,36,31,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-24,,40,34,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-25,,44,34,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-26,,35,30,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-27,,31,24,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-28,,28,11,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-29,,16,6,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-30,,16,1,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-01-31,,25,12,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-01,,26,19,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-02,,29,20,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-03,,33,23,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-04,,33,20,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-05,,33,24,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-06,,27,13,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-07,,29,14,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-08,,31,17,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-09,,31,22,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-10,,32,21,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-11,,33,16,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-12,,31,22,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-13,,30,21,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-14,,31,28,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-15,,30,26,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-16,,33,26,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-17,,35,27,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-18,,35,29,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-19,,37,28,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-20,,37,26,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-21,,42,26,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-22,,33,27,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-23,,34,30,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-24,,34,27,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-25,,30,21,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-26,,35,23,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-27,,38,33,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-02-28,,40,35,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-03-01,,40,32,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-03-02,,35,29,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-03-03,,39,32,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-03-04,,39,29,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-03-05,,38,29,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-03-06,,45,25,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-03-07,,47,33,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-03-08,,55,36,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-03-09,,46,36,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-03-10,,41,33,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-03-11,,43,39,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-03-12,,40,38,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2010-03-13,,40,38,,
