STATION,NAME,DATE,TAVG,TMAX,TMIN,WDFG,WSFG
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-01,31,34,28,   25,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-02,33,37,29,   19,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-03,26,36,16,   30,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-04,12,17,7,   35,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-05,20,30,9,   18,71.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-06,32,38,26,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-07,33,37,28,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-08,,,31,    5,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-09,44,50,38,   17,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-10,33,45,22,   26,145.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-11,19,22,16,   24,107.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-12,24,31,17,   27,116.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-13,18,21,16,   24,82.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-14,26,32,20,   26,71.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-15,37,41,32,   20,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-16,35,40,29,   26,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-17,,,29,   23,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-18,18,20,15,   23,116.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-19,17,25,10,   25,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-20,22,25,19,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-21,23,27,19,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-22,25,29,20,   36,96.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-23,21,26,16,    1,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-24,24,33,16,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-25,37,43,32,   20,107.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-26,40,45,35,   21,116.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-27,33,35,31,   20,107.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-28,33,37,29,   21,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-29,26,33,18,   27,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-30,34,45,23,   21,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-01-31,46,53,38,   21,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-02-01,43,50,35,   24,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-02-02,35,38,31,    6,136.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-02-03,48,59,37,   18,111.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-02-04,35,41,29,   24,71.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-02-05,33,36,29,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-02-06,36,38,33,   20,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-02-07,38,45,32,   16,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-02-08,37,40,35,    5,107.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-02-09,33,36,30,   19,71.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-02-10,23,30,15,   30,91.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2016-02-11,12,17,8,   28,102.9
