STATION,NAME,DATE,TAVG,TMAX,TMIN,WDFG,WSFG
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-01,35,38,31,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-02,36,40,32,    5,71.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-03,39,40,38,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-04,29,40,19,   25,132.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-05,18,22,14,   21,91.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-06,15,19,11,   27,82.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-07,15,20,11,   22,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-08,16,19,14,   31,111.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-09,23,29,18,   18,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-10,38,48,28,   18,170.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-11,43,51,36,   24,140.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-12,43,55,31,   19,120.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-13,26,31,21,   30,107.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-14,24,28,20,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-15,29,34,24,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-16,32,38,26,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-17,36,38,34,    5,107.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-18,37,39,35,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-19,36,39,33,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-20,36,39,34,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-21,39,40,38,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-22,39,40,37,    5,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-23,37,38,35,    3,111.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-24,35,37,33,    4,96.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-25,39,42,35,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-26,38,43,33,   27,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-27,33,36,31,   28,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-28,31,32,29,   21,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-29,26,31,21,   25,71.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-30,21,26,16,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-01-31,27,31,24,   11,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-01,33,36,29,   24,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-02,24,29,19,   26,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-03,20,23,17,   20,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-04,24,31,17,   24,96.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-05,32,35,29,   29,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-06,31,36,26,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-07,42,50,34,    6,116.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-08,32,42,21,   24,120.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-09,20,25,14,   27,91.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-10,26,32,20,   24,82.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-11,36,41,30,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-12,33,37,28,   29,161.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-13,30,33,27,   26,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-14,34,41,27,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-15,31,38,25,   28,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-16,23,27,19,   29,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-17,28,35,22,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-18,45,58,31,   26,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-19,47,55,38,   28,96.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-20,,,35,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-21,39,44,35,    5,71.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-22,46,54,38,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-23,,,38,   29,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-24,39,41,38,    1,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-25,38,48,28,   24,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-02-26,33,41,26,   21,91.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-04,18,22,14,   34,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-05,23,32,14,    9,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-06,40,47,32,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-07,50,57,44,   23,111.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-08,44,50,39,   20,174.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-09,35,39,32,   26,107.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-10,24,33,16,   31,140.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-11,18,23,14,   28,116.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-12,18,25,12,   29,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-13,20,23,16,    1,111.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-14,16,19,13,   33,116.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-15,22,28,17,   29,132.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-16,29,36,23,   29,96.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-17,34,41,26,   17,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-18,34,36,32,    1,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-19,38,44,33,    3,96.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-20,37,42,33,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-21,41,53,29,   31,127.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-22,25,31,19,   32,127.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-23,29,36,22,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-24,47,59,34,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-25,38,39,36,    6,116.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-26,38,40,36,    4,111.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-27,48,58,38,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-28,46,52,40,   35,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-29,41,44,38,   34,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-30,37,40,34,    4,149.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-03-31,38,39,37,    1,125.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-04-01,44,51,36,   34,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-04-02,50,61,39,   29,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-04-03,44,48,39,    5,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-04-04,46,55,38,   23,116.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-04-05,41,43,39,    3,116.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2017-04-06,40,45,35,    5,149.9
