STATION,NAME,DATE,TAVG,TMAX,TMIN,WDFG,WSFG
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-01,,32,21,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-02,,32,27,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-03,,36,27,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-04,,42,24,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-05,,24,11,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-06,,20,11,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-07,,18,2,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-08,,19,8,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-09,,21,9,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-10,,18,8,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-11,,33,18,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-12,,33,7,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-13,,18,-2,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-14,,24,5,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-15,,29,9,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-18,,45,34,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-19,,34,20,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-20,,23,15,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-21,,30,13,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-22,,31,23,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-23,,32,26,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-24,,35,25,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-25,,32,13,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-26,,23,13,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-27,,22,12,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-28,,29,7,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-29,,33,21,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-30,,31,7,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-01-31,,29,6,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-01,,29,12,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-02,,20,7,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-03,,25,6,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-04,,33,18,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-05,,18,7,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-06,,24,11,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-07,,32,24,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-08,,27,11,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-09,,17,11,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-10,,25,15,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-11,,30,19,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-12,,29,0,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-13,,18,-5,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-14,,23,-2,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-15,,3,-10,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-16,,10,-10,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-17,,16,1,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-18,,18,6,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-19,,6,-7,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-20,,6,-9,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-21,,20,4,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-22,,26,4,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-23,,5,-5,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-24,,19,-3,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-25,,21,7,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-26,,14,6,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-27,,14,-1,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-02-28,,22,3,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-03-01,,27,10,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-03-02,,27,15,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-03-03,,37,11,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-03-04,,35,15,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-03-05,,17,4,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2015-03-06,,23,3,,
