STATION,NAME,DATE,TAVG,TMAX,TMIN,WDFG,WSFG
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-01,35,41,28,   34,91.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-02,22,29,15,   33,96.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-03,18,24,12,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-04,31,37,24,   18,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-05,33,42,24,   20,143.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-06,24,27,20,   20,94.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-07,19,25,14,   28,94.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-08,25,36,13,   21,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-09,30,41,20,   29,120.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-10,14,20,8,   24,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-11,15,29,1,   19,94.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-12,33,36,29,   20,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-13,32,35,30,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-14,17,31,4,   35,94.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-15,4,11,-2,   35,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-16,19,31,7,   14,71.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-17,27,30,23,   35,127.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-18,27,32,22,   17,82.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-19,32,42,22,   28,107.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-20,14,22,6,   32,80.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-21,10,16,3,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-22,16,27,5,   20,91.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-23,17,26,8,   35,76.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-24,16,25,7,   12,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-25,18,22,13,   30,69.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-26,15,20,9,   34,69.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-27,22,27,16,   19,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-28,16,27,5,   36,107.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-29,9,17,1,   35,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-30,17,25,9,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-01-31,25,33,17,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-02-01,33,42,23,   21,76.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-02-02,35,42,28,   35,85.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-02-03,22,28,15,   35,96.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-02-04,15,19,10,   36,89.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-02-05,15,22,8,   15,71.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-02-06,26,33,18,   19,94.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-02-07,34,38,29,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-02-08,28,31,24,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-02-09,35,44,25,   20,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-02-10,35,38,33,   24,82.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-02-11,36,41,31,   21,116.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-02-12,24,38,10,   29,107.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-02-13,13,17,9,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-02-14,12,18,6,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2022-02-15,21,29,14,,
