STATION,NAME,DATE,TAVG,TMAX,TMIN,WDFG,WSFG
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-01,36,51,21,   24,140.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-02,26,32,20,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-03,34,36,32,   21,85.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-04,41,47,34,   21,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-05,36,39,34,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-06,33,40,25,   33,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-07,36,47,25,    7,105.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-08,44,49,38,   22,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-09,31,38,24,   30,109.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-10,21,25,16,   29,109.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-11,19,23,14,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-12,24,26,21,    6,76.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-13,23,26,19,    5,111.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-14,26,31,20,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-15,29,32,25,   20,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-16,24,33,16,   27,111.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-17,21,28,14,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-18,28,33,23,   29,80.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-19,15,24,6,    3,123.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-20,6,12,0,   33,120.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-21,6,13,-2,   28,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-22,20,34,6,   19,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-23,38,45,31,   21,89.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-24,33,39,28,   20,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-25,21,28,14,   22,129.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-26,15,20,10,   26,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-27,15,22,8,   23,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-28,15,27,2,    8,134.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-29,20,33,7,   19,114.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-30,1,8,-6,   21,105.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-01-31,0,8,-7,   25,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-02-01,7,15,-1,   24,69.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-02-02,21,35,7,   23,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-02-03,40,48,33,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-02-04,50,57,43,   19,96.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-02-05,36,49,24,   31,80.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2019-02-06,29,33,24,    6,98.4
