STATION,NAME,DATE,TAVG,TMAX,TMIN,WDFG,WSFG
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-01,10,17,2,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-02,15,20,10,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-03,18,22,15,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-04,10,18,2,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-05,2,6,-1,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-06,1,7,-5,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-07,16,31,0,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-08,33,37,28,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-09,31,36,26,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-10,34,47,22,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-11,50,55,45,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-12,36,56,15,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-13,12,16,8,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-14,15,22,8,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-15,19,24,15,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-16,20,26,14,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-17,18,23,13,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-18,24,29,20,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-19,33,39,27,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-20,37,41,33,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-21,35,38,31,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-22,36,37,36,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-23,35,43,26,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-24,22,27,17,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-25,23,31,15,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-26,37,46,28,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-27,44,50,38,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-28,36,42,30,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-29,27,32,22,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-30,17,23,11,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-01-31,26,39,13,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-01,28,40,16,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-02,14,19,9,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-03,24,34,15,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-04,27,36,18,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-05,16,21,11,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-06,20,24,17,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-07,21,27,15,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-08,17,22,11,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-09,22,28,17,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-10,24,26,23,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-11,29,34,23,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-12,23,28,18,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-13,22,30,15,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-14,35,42,27,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-15,43,48,38,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-16,33,42,24,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-17,27,31,23,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-18,34,38,29,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-19,37,43,30,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-20,51,64,37,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-21,47,62,32,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-22,31,34,29,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-23,40,47,33,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-24,39,43,35,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-25,44,52,35,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-26,41,46,35,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-27,45,54,35,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-02-28,47,57,37,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-01,34,37,32,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-02,36,41,31,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-03,34,40,28,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-04,33,38,28,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-05,29,34,24,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-06,33,35,31,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-07,34,38,30,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-08,28,31,25,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-09,34,37,30,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-10,31,35,27,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-11,31,35,26,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-12,29,31,28,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-13,30,35,25,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-14,30,33,28,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-15,33,38,28,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-16,26,31,22,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-17,35,44,25,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-18,38,50,26,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-19,28,33,24,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-20,29,34,24,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-21,33,38,27,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-22,36,43,28,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-23,34,41,28,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-24,29,33,26,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-25,28,36,21,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-26,35,38,32,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-27,42,47,37,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-28,42,47,36,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-29,40,43,36,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-30,38,43,34,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-03-31,41,49,33,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-01,33,37,29,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-02,37,44,31,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-03,37,38,36,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-04,37,45,28,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-05,31,36,26,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-06,36,44,29,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-07,28,32,25,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-08,31,35,27,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-09,31,35,27,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-10,36,42,30,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-11,39,44,35,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-12,49,64,34,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-13,39,41,37,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-14,34,40,27,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-15,33,36,29,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-16,37,39,36,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-17,33,36,31,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-18,37,40,35,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-19,37,40,34,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-20,39,47,31,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-21,46,57,35,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-22,44,51,36,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-23,45,50,39,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-24,49,58,40,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-25,45,50,40,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-26,49,59,40,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-27,45,50,40,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-28,42,48,36,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-29,44,54,35,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-04-30,53,67,38,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-01,63,77,48,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-02,,,60,   21,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-03,58,70,46,   25,96.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-04,59,76,43,   11,243.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-05,61,72,50,   29,149.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-06,51,57,45,    3,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-07,49,54,44,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-08,46,49,43,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-09,51,60,43,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-10,55,67,43,   29,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-11,45,49,42,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-12,48,53,43,    1,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-13,50,56,44,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-14,63,73,52,   18,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-15,57,64,50,   35,91.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-16,50,55,44,    5,71.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-17,56,63,48,    2,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-18,50,54,46,    3,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-19,49,55,44,    4,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-20,59,67,50,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-21,54,60,49,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-22,54,59,49,   35,116.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-23,68,80,56,   33,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-24,71,84,58,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-25,74,84,63,   20,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-26,65,74,56,    2,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-27,57,61,53,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-28,72,88,55,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-29,,,64,    3,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-30,,,60,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-05-31,,,59,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-01,,,,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-02,60,64,56,   35,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-03,61,66,55,    5,71.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-04,63,67,60,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-05,57,60,53,   32,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-06,57,61,52,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-07,66,76,55,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-08,62,66,58,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-09,63,66,60,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-10,62,65,58,    5,96.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-11,61,63,59,    3,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-12,61,65,57,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-13,72,82,62,   29,145.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-14,,,62,   29,107.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-15,68,77,59,   17,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-16,71,82,61,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-17,78,89,66,   17,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-18,77,87,67,   30,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-19,65,68,62,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-20,69,75,63,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-21,64,68,60,    5,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-22,62,63,60,    3,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-23,62,62,61,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-24,65,69,61,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-25,63,67,60,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-26,61,64,58,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-27,63,65,61,    3,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-28,74,84,63,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-29,79,88,70,   17,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-06-30,82,91,73,   20,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-07-01,83,91,74,   19,71.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-07-02,80,88,73,   22,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-07-03,72,77,68,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-07-04,74,78,71,    0,0.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2018-07-05,81,89,72,   29,125.3
