STATION,NAME,DATE,TAVG,TMAX,TMIN,WDFG,WSFG
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-01,,37,23,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-02,,23,12,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-03,,27,9,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-04,,33,26,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-05,,40,32,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-06,,50,38,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-07,,60,50,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-08,,61,53,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-09,,56,36,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-10,,39,34,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-11,,46,37,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-12,,40,36,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-13,,38,33,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-14,,36,33,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-15,,34,29,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-16,,33,25,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-17,,39,32,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-18,,38,26,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-19,,30,12,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-20,,17,10,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-21,,22,12,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-22,,34,20,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-23,,22,18,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-24,,25,17,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-26,,27,17,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-27,,32,26,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-28,,38,27,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-29,,46,38,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2008-01-30,,52,16,,
