STATION,NAME,DATE,TAVG,TMAX,TMIN,WDFG,WSFG
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-01,33,36,29,    7,94.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-02,35,37,32,   32,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-03,34,36,32,   10,69.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-04,35,36,34,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-05,35,36,34,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-06,36,39,32,   34,94.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-07,29,34,24,   35,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-08,22,28,16,   34,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-09,33,40,27,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-10,31,36,27,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-11,30,34,27,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-12,31,32,29,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-13,35,38,32,   21,82.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-14,37,39,35,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-15,39,43,36,   10,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-16,36,39,33,   28,85.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-17,36,39,33,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-18,33,35,31,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-19,31,34,28,   23,94.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-20,26,30,22,   20,91.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-21,34,38,30,   20,89.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-22,29,37,22,   29,100.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-23,21,26,17,   30,100.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-24,26,29,23,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-25,31,35,27,    7,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-26,31,36,26,    6,149.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-27,25,30,19,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-28,18,22,13,   30,105.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-29,18,24,13,   28,91.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-30,23,29,18,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-01-31,28,30,26,    6,138.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-01,22,26,17,    4,125.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-02,28,37,20,   31,123.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-03,31,38,24,   31,89.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-04,30,37,24,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-05,30,39,21,   20,123.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-06,21,23,18,   21,105.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-07,15,21,10,   25,85.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-08,15,20,9,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-09,22,28,16,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-10,17,23,11,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-11,21,26,16,   34,69.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-12,16,21,11,    2,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-13,17,24,11,    5,118.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-14,18,25,11,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-15,21,26,17,   36,120.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-16,17,24,10,    2,138.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-17,18,26,10,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-18,24,28,20,    9,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-19,25,29,22,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-20,25,30,20,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-21,22,30,14,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-22,34,38,30,   18,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-23,37,42,33,   21,96.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-24,41,49,33,   25,107.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-25,32,35,29,   29,91.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-26,31,37,25,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-27,37,42,32,   24,91.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-02-28,39,46,32,   28,76.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-01,31,46,16,   28,147.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-02,25,35,15,   21,80.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-03,38,45,32,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-04,28,36,20,   34,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-05,26,34,18,   30,134.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-06,26,31,22,   30,91.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-07,26,32,20,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-08,36,51,22,   18,82.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-09,40,45,35,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-10,49,64,34,   19,91.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-11,55,67,44,   21,145.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-12,39,51,28,   30,129.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-13,34,43,25,   22,82.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-14,33,39,26,   33,120.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-15,25,31,20,   35,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-16,33,36,30,    5,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-17,38,41,36,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-18,38,43,32,    1,114.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-19,32,37,26,    1,89.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-20,45,57,33,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-21,38,42,34,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-22,39,44,34,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-23,42,47,37,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-24,46,51,40,    4,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-25,55,67,42,   35,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-26,44,49,40,   32,109.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-27,40,40,38,    3,69.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-28,44,50,37,   28,125.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-29,40,44,35,   31,120.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-30,52,69,36,   17,138.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-03-31,49,63,35,   30,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-04-01,32,36,29,   31,120.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-04-02,35,41,28,   35,107.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-04-03,39,48,29,   17,107.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-04-04,45,54,35,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2021-04-05,44,48,41,,
