STATION,NAME,DATE,TAVG,TMAX,TMIN,WDFG,WSFG
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-01,34,37,30,   24,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-02,,,,   20,85.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-04,36,38,33,   29,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-05,,,,   25,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-06,35,38,32,   24,102.9
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-08,27,34,21,   24,132.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-09,32,45,18,   21,80.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-10,44,48,39,   19,105.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-11,47,56,37,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-12,31,37,25,    4,129.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-13,33,38,29,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-14,37,41,33,    9,80.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-15,39,40,38,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-16,27,38,18,   30,129.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-17,16,22,10,   35,71.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-18,30,40,21,   25,100.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-19,25,35,16,   23,111.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-20,18,26,10,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-21,26,28,23,   24,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-22,29,34,24,   21,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-23,33,36,30,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-24,36,39,33,    3,89.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-25,38,40,36,    6,76.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-26,37,39,35,   22,69.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-27,35,36,34,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-28,34,36,31,   30,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-29,27,31,23,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-30,27,31,23,    9,76.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-01-31,31,33,30,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-01,32,35,30,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-02,35,38,33,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-03,40,44,36,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-04,33,38,28,   31,85.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-05,25,29,21,   32,94.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-06,27,29,24,    2,96.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-07,25,30,20,   34,109.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-08,17,22,12,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-09,28,36,20,   17,80.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-10,37,39,35,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-11,33,37,30,   28,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-12,32,36,28,   25,69.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-13,23,34,11,   29,76.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-14,10,19,1,   16,71.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-15,26,35,18,   20,127.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-16,35,38,31,   23,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-17,28,31,25,    7,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-18,36,42,29,   26,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-19,27,34,21,   29,80.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-20,21,25,17,   28,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-21,26,33,19,   19,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-22,35,40,30,   25,89.5
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-23,42,48,36,   20,73.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-24,43,48,37,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-25,38,40,35,    2,76.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-26,33,39,27,    3,100.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-27,25,27,23,   23,138.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-28,24,27,20,   24,114.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-02-29,21,28,14,   30,98.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-03-01,30,41,20,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-03-02,43,47,39,   21,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-03-03,38,41,36,   25,85.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-03-04,39,43,35,   23,94.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-03-05,37,44,31,    9,82.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-03-06,35,37,32,   34,199.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-03-07,31,39,24,   33,85.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-03-08,44,54,33,   20,87.2
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-03-09,54,60,47,   21,94.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-03-10,44,55,33,   20,107.4
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-03-11,33,36,30,    5,76.1
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-03-12,38,40,35,,
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-03-13,45,52,37,   29,129.7
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-03-14,36,38,33,   29,78.3
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-03-15,32,35,29,    2,71.6
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-03-16,33,38,29,    8,85.0
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-03-17,41,47,36,   29,82.8
CA006151061,"BURLINGTON PIERS AUT, ON CA",2020-03-18,35,38,32,    3,91.7
